field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Sun Earth,TDB125X125-72-P 150Wp,Module,1580 x 808 x 16,Germany,Yes,0,13,15/12/2024 09:15:59,SecondSol,https://www.secondsol.com/de/anzeige/18892,270.00,13
Sun Value,SV-185M,Module,1580 x 808 x 15.5,Germany,Yes,0,1,15/12/2024 09:16:00,SecondSol,https://www.secondsol.com/de/anzeige/18897,370.00,1
Sun Value,SV-185M,Module,1580 x 808 x 15.5,Germany,Yes,0,1,15/12/2024 09:16:00,SecondSol,https://www.secondsol.com/de/anzeige/41399,0,1
ET Solar,ET-P660245WW 245Wp,Module,1640 x 992 x 19.3,Germany,Yes,0,13,15/12/2024 09:16:01,SecondSol,https://www.secondsol.com/de/anzeige/18919,539.00,13
JA Solar,JASolar JAP6-60-250/3BB 250Wp,Module,1650 x 991 x 18.2,Germany,Yes,0,15,15/12/2024 09:16:01,SecondSol,https://www.secondsol.com/de/anzeige/18922,550.00,15
Hanwha Q.Cells,Q.Peak DUO-G9 350Wp,Module,1673 x 1030 x 17.5,Germany,Yes,0,106,15/12/2024 09:16:02,SecondSol,https://www.secondsol.com/de/anzeige/28350,700.00,106
Sun Earth,TDB125X125-72-P,Module,1580 x 808 x 16,Germany,Yes,0,3,15/12/2024 09:16:02,SecondSol,https://www.secondsol.com/de/anzeige/18958,354.00,3
Schott Solar,Perform Poly 240,Module,1685 x 993 x 20,Germany,Yes,0,14,15/12/2024 09:16:03,SecondSol,https://www.secondsol.com/de/anzeige/19050,600.00,14
Hanwha Q.Cells,HSL60M6-HA-1-255 B Black Diamond,Module,1652 x 1000 x 20,Germany,Yes,0,9,15/12/2024 09:16:04,SecondSol,https://www.secondsol.com/de/anzeige/19086,0,9
Sovello,SV-X-195-FA1,Module,1650 x 951 x 18.6,Germany,Yes,0,2,15/12/2024 09:16:04,SecondSol,https://www.secondsol.com/de/anzeige/19153,0,2
IBC Solar,PolySol 225 TT,Module,1660 x 990 x 24,Germany,Yes,0,2,15/12/2024 09:16:05,SecondSol,https://www.secondsol.com/de/anzeige/19088,0,2
PV Power Tech,PVQ3 185,Module,1368 x 1016 x 16.5,Germany,Yes,0,21,15/12/2024 09:16:05,SecondSol,https://www.secondsol.com/de/anzeige/19097,517.00,21
Solarworld,SW PL 155 Compact Mono Black,Module,1675 x 682 x 13,Germany,Yes,0,3,15/12/2024 09:16:06,SecondSol,https://www.secondsol.com/de/anzeige/19318,465.00,3
Luxor Solar,Eco Line M120/390W Bifacial 390Wp,Module,1791 x 1048 x 24,Germany,Yes,0,29,15/12/2024 09:16:10,SecondSol,https://www.secondsol.com/de/anzeige/38030,780.00,29
Solarworld,SW PL 280 mono (Albarino),Module,1675 x 1001 x 18,Germany,Yes,0,27,15/12/2024 09:16:11,SecondSol,https://www.secondsol.com/de/anzeige/19322,840.00,27
Solarworld,SW PL 165 Compact Poly,Module,1675 x 680 x 15,Germany,Yes,0,1,15/12/2024 09:16:11,SecondSol,https://www.secondsol.com/de/anzeige/19323,495.00,1
Solarworld,SW PL 260 mono,Module,1675 x 1001 x 21.2,Germany,Yes,0,19,15/12/2024 09:16:12,SecondSol,https://www.secondsol.com/de/anzeige/19324,780.00,19
Solarworld,SW PL 260 mono Black Laminat,Module,0 x 0 x 0,Germany,Yes,0,41,15/12/2024 09:16:12,SecondSol,https://www.secondsol.com/de/anzeige/19325,884.00,41
Solarworld,SW Plus196 Vario Poly,Module,1357 x 1001 x 17.4,Germany,Yes,0,17,15/12/2024 09:16:13,SecondSol,https://www.secondsol.com/de/anzeige/19326,490.00,17
Tianwei,TW190(35) D-2,Module,1580 x 808 x 15.5,Germany,Yes,0,1,15/12/2024 09:16:14,SecondSol,https://www.secondsol.com/de/anzeige/19372,285.00,1
Solarworld,SW Protect 260 mono,Module,1675 x 1001 x 21.5,Germany,Yes,0,2,15/12/2024 09:16:14,SecondSol,https://www.secondsol.com/de/anzeige/19337,780.00,2
Solarworld,SW Plus 265 mono,Module,1675 x 1001 x 18,Germany,Yes,0,3,15/12/2024 09:16:15,SecondSol,https://www.secondsol.com/de/anzeige/19338,795.00,3
Solarworld,SW Plus 265 mono black,Module,1675 x 1001 x 21.2,Germany,Yes,0,5,15/12/2024 09:16:15,SecondSol,https://www.secondsol.com/de/anzeige/19339,795.00,5
Solarworld,SW Plus 270 mono,Module,1675 x 1001 x 18,Germany,Yes,0,13,15/12/2024 09:16:16,SecondSol,https://www.secondsol.com/de/anzeige/19340,450.00,13
Schott Solar,ASE-160-SP / ASE 160 SP,Module,1580 x 802 x 18,Germany,Yes,0,84,15/12/2024 09:16:16,SecondSol,https://www.secondsol.com/de/anzeige/19341,0,84
Solarworld,SW Plus 270 mono black,Module,1675 x 1001 x 21.2,Germany,Yes,0,3,15/12/2024 09:16:17,SecondSol,https://www.secondsol.com/de/anzeige/19342,810.00,3
Solarworld,SW Plus 275 mono,Module,1675 x 1001 x 21.2,Germany,Yes,0,63,15/12/2024 09:16:17,SecondSol,https://www.secondsol.com/de/anzeige/19343,825.00,63
Solarworld,SW Plus 280 mono,Module,1675 x 1001 x 18,Germany,Yes,0,1,15/12/2024 09:16:18,SecondSol,https://www.secondsol.com/de/anzeige/19344,840.00,1
